relative_path	type	mode	size	classification
.agents	d	755	4096	inventory_extracted_only
.git	d	755	4096	inventory_extracted_only
.personality_migration	f	664	3	inventory_extracted_only
.tmp	d	775	4096	inventory_extracted_only
.tmp/marketplaces	d	775	4096	inventory_extracted_only
.tmp/rollout-compression.lock	f	664	77	inventory_extracted_only
AGENTS.md	f	600	6217	copied_active_projection
AGENTS.rtk.md	f	664	2584	copied_active_projection
RTK.md	f	600	482	copied_active_projection
RULES.md	f	664	7060	copied_active_projection
agents	d	775	4096	copied_active_projection
agents/docs-researcher.toml	f	664	486	copied_active_projection
agents/explorer.toml	f	664	429	copied_active_projection
agents/reviewer.toml	f	664	412	copied_active_projection
attachments	d	775	4096	excluded_secret_or_private_runtime
attachments/1cef0cca-70b5-47f8-a73d-8972ce629035	d	775	4096	excluded_secret_or_private_runtime
attachments/1cef0cca-70b5-47f8-a73d-8972ce629035/pasted-text-1.txt	f	664	3994	excluded_secret_or_private_runtime
attachments/2416b938-5d0a-40bb-86bb-468a6efd70f1	d	775	4096	excluded_secret_or_private_runtime
attachments/2416b938-5d0a-40bb-86bb-468a6efd70f1/pasted-text-1.txt	f	664	4843	excluded_secret_or_private_runtime
attachments/272785f6-f862-4a3c-8c81-963a591b345d	d	775	4096	excluded_secret_or_private_runtime
attachments/272785f6-f862-4a3c-8c81-963a591b345d/pasted-text-1.txt	f	664	5936	excluded_secret_or_private_runtime
attachments/276df746-a2e4-47a2-b431-b32eb7207a64	d	775	4096	excluded_secret_or_private_runtime
attachments/276df746-a2e4-47a2-b431-b32eb7207a64/pasted-text-1.txt	f	664	12693	excluded_secret_or_private_runtime
attachments/4db90bab-0815-4791-9c0d-79c27630886c	d	775	4096	excluded_secret_or_private_runtime
attachments/4db90bab-0815-4791-9c0d-79c27630886c/pasted-text-1.txt	f	664	7492	excluded_secret_or_private_runtime
attachments/544dba9d-c4f2-4090-aa6f-f5880ceea106	d	775	4096	excluded_secret_or_private_runtime
